tenure_months,monthly_charges,total_charges,contract_month_to_month,has_fiber,support_tickets,late_payments,addon_count,churn
13.0,64.6,713.83,1,0,5,1,2,1
63.0,50.28,2692.49,1,0,3,2,4,0
14.0,70.9,843.71,1,1,4,3,0,1
7.0,78.17,465.11,0,0,3,5,3,0
14.0,46.62,554.78,0,1,4,3,3,0
2.0,71.6,121.72,1,0,5,3,2,0
6.0,77.58,395.66,1,0,1,4,2,0
40.0,54.37,1848.58,0,0,7,1,5,1
7.0,66.86,397.82,0,1,5,1,2,0
12.0,74.83,763.27,1,0,8,4,1,0
37.0,54.91,1726.92,1,0,6,0,4,1
41.0,74.45,2594.58,1,0,7,4,2,0
65.0,64.92,3586.83,1,0,5,5,1,0
52.0,50.22,2219.72,0,0,2,4,4,0
10.0,74.4,632.4,1,0,1,6,1,0
67.0,63.42,3611.77,0,0,3,1,5,1
44.0,45.48,1700.95,0,1,2,2,2,0
70.0,57.76,3436.72,0,0,6,4,3,0
7.0,76.12,452.91,1,0,6,5,1,1
42.0,57.98,2069.89,0,0,3,5,4,0
60.0,62.34,3179.34,1,0,4,2,1,0
27.0,51.73,1187.2,0,0,0,1,4,0
71.0,45.54,2748.34,0,0,1,6,3,0
28.0,71.28,1696.46,1,1,1,2,0,1
7.0,64.98,386.63,1,0,3,1,1,0
32.0,65.68,1786.5,0,0,7,1,4,0
5.0,46.24,196.52,1,0,1,1,3,0
4.0,50.87,172.96,1,0,6,2,4,0
40.0,61.48,2090.32,1,0,7,1,1,0
19.0,48.07,776.33,1,0,6,1,3,0
41.0,66.81,2328.33,0,0,1,0,5,1
4.0,66.22,225.15,0,0,7,3,4,0
54.0,61.05,2802.2,1,0,4,1,4,1
35.0,55.39,1647.85,0,0,2,1,5,0
40.0,72.3,2458.2,1,0,7,1,2,0
20.0,45.05,765.85,1,0,4,5,4,0
26.0,75.53,1669.21,1,1,2,5,0,1
28.0,71.71,1706.7,1,0,7,6,2,0
31.0,74.88,1973.09,1,0,5,6,1,0
21.0,72.57,1295.37,1,0,5,4,1,0
27.0,77.25,1772.89,1,0,2,1,3,0
52.0,66.43,2936.21,1,1,2,3,0,1
42.0,69.28,2473.3,1,0,7,1,4,0
13.0,57.65,637.03,0,0,2,3,4,0
42.0,65.3,2331.21,0,0,2,3,4,0
32.0,72.46,1970.91,1,0,2,5,1,0
59.0,45.75,2294.36,1,1,3,2,2,0
39.0,46.78,1550.76,0,1,6,2,2,0
25.0,56.52,1201.05,0,0,7,4,4,0
4.0,70.74,240.52,1,1,3,4,0,1
54.0,56.36,2586.92,1,0,2,0,4,1
26.0,77.36,1709.66,1,0,1,5,0,1
47.0,76.28,3047.39,0,0,2,4,2,0
30.0,54.96,1401.48,0,1,5,1,3,0
25.0,50.82,1079.92,1,0,4,1,3,0
64.0,67.67,3681.25,1,0,2,2,1,0
8.0,75.21,511.43,1,0,0,6,1,0
71.0,79.25,4782.74,0,0,7,5,2,0
65.0,48.98,2706.14,0,0,7,6,3,0
59.0,49.09,2461.86,1,0,4,2,3,0
54.0,67.62,3103.76,1,0,2,5,1,0
51.0,60.18,2608.8,0,0,1,0,5,1
48.0,67.35,2747.88,1,0,6,1,3,0
38.0,76.55,2472.56,1,1,1,6,0,0
50.0,68.64,2917.2,1,0,7,2,2,0
12.0,71.12,725.42,1,0,3,5,1,0
11.0,76.93,719.3,1,0,3,2,1,0
49.0,45.43,1892.16,1,0,2,4,5,0
29.0,51.25,1263.31,0,0,0,5,5,0
46.0,64.01,2502.79,0,0,7,0,5,1
67.0,71.06,4046.87,1,0,1,2,1,0
9.0,65.62,501.99,0,0,1,1,3,0
19.0,49.15,793.77,0,0,4,2,3,0
26.0,58.03,1282.46,1,0,1,3,2,0
28.0,71.17,1693.85,0,0,7,2,2,0
67.0,61.15,3482.49,1,1,6,2,1,1
55.0,69.18,3234.17,1,0,6,0,4,0
60.0,72.03,3673.53,1,0,8,2,2,0
9.0,63.52,485.93,0,0,7,2,3,0
18.0,57.01,872.25,1,0,3,2,1,0
32.0,46.99,1278.13,0,0,3,4,5,0
42.0,69.5,2481.15,1,1,0,5,0,1
4.0,60.72,206.45,1,0,6,0,5,1
69.0,58.41,3425.75,0,0,0,3,4,0
24.0,62.07,1266.23,1,0,4,5,2,0
58.0,50.38,2483.73,0,0,1,3,3,0
62.0,67.4,3551.98,0,1,3,2,0,1
12.0,79.52,811.1,1,0,7,5,1,0
40.0,68.96,2344.64,1,1,8,2,1,0
12.0,46.08,470.02,0,1,1,3,4,0
28.0,45.27,1077.43,1,0,2,5,2,1
53.0,69.02,3109.35,1,0,2,1,2,0
24.0,78.22,1595.69,1,0,2,5,1,1
49.0,60.51,2520.24,0,0,8,4,4,0
22.0,77.09,1441.58,1,1,6,4,0,1
16.0,68.26,928.34,1,0,6,1,1,0
71.0,76.18,4597.46,1,0,7,5,2,0
23.0,76.82,1501.83,1,0,1,2,2,0
59.0,65.73,3296.36,1,1,5,3,0,1
4.0,58.62,199.31,1,0,2,3,1,0
46.0,56.74,2218.53,0,0,2,4,4,0
38.0,53.35,1723.2,0,0,3,3,4,0
49.0,50.33,2096.24,0,0,4,6,4,0
61.0,73.27,3799.05,1,0,6,5,1,0
16.0,53.45,726.92,1,0,7,0,3,1
62.0,67.56,3560.41,1,0,2,2,2,0
31.0,64.55,1700.89,1,0,5,4,2,0
18.0,50.98,779.99,1,0,2,0,5,1
69.0,65.03,3814.01,1,0,8,5,1,0
23.0,51.52,1007.22,1,0,7,0,2,1
39.0,56.79,1882.59,0,0,2,5,4,0
29.0,47.64,1174.33,0,0,0,5,5,0
66.0,72.25,4053.22,1,1,8,3,0,1
68.0,59.7,3450.66,0,0,6,4,3,0
64.0,66.97,3643.17,1,0,7,6,1,0
15.0,59.22,755.06,0,0,7,5,3,0
43.0,73.81,2697.76,1,0,3,6,1,0
35.0,46.72,1389.92,0,1,5,5,4,0
56.0,54.21,2580.4,0,0,5,3,4,0
49.0,54.8,2282.42,0,0,0,6,4,0
7.0,57.12,339.86,0,0,6,5,4,0
28.0,51.84,1233.79,1,0,7,1,1,1
15.0,74.35,947.96,1,0,2,4,2,0
3.0,59.86,152.64,1,1,2,1,0,1
35.0,78.65,2339.84,1,0,5,4,2,0
45.0,47.8,1828.35,1,0,7,6,4,0
38.0,48.77,1575.27,1,0,0,1,3,1
11.0,77.63,725.84,1,0,1,2,2,0
48.0,66.27,2703.82,1,0,7,3,2,0
8.0,77.52,527.14,1,1,5,5,0,1
1.0,60.35,51.3,1,1,4,3,1,1
1.0,62.23,52.9,0,0,2,4,2,1
72.0,78.38,4796.86,1,0,1,5,1,1
39.0,46.83,1552.41,0,0,3,6,3,0
19.0,63.58,1026.82,0,0,4,1,3,0
6.0,63.68,324.77,1,1,5,2,0,1
